id;sabor_pizza;instante_pedido;tempo_preparo
56235;Portuguesa;98;24
63126;Calabresa;98;27
66826;Frango com Catupiry;98;30
21601;Calabresa;98;24
22717;Frango com Catupiry;98;24
95154;Calabresa;98;20
36303;Frango com Catupiry;99;19
76750;Calabresa;99;15
80426;Vegetariana;99;11
56135;Quatro Queijos;99;15
28951;Vegetariana;99;13
47960;Quatro Queijos;99;26
67207;Calabresa;99;25
64134;Pepperoni;99;12
41024;Calabresa;99;16
84812;Pepperoni;100;20
87343;Vegetariana;100;24
48586;Pepperoni;100;28
11579;Vegetariana;100;17
15505;Portuguesa;100;27
36601;Frango com Catupiry;100;17
44097;Vegetariana;100;19
40353;Calabresa;100;10
73025;Vegetariana;100;13
44917;Quatro Queijos;100;14
27023;Portuguesa;100;27
